Brewery,Beer,Style,ABV
Next Stop,Bangkok (Lemongrass Ginger Kölsch) ,Kölsch,4.5%
Next Stop,Lyon ,Farmhouse Ale - Saison,4.5%
Next Stop,Amsterdam (Chamomile Hefeweizen) ,Hefeweizen,5.3%
Next Stop,Summa Summa Time (not Gluten Reduced) ,IPA - American,6.7%
Next Stop,Rome (Basil IPA) ,IPA - American,6.5%
Next Stop,Mando (5 Spice & Szechuan Peppercorns) ,IPA - International,6%
Next Stop,Provence (Lavender Tripel) ,Belgian Tripel,9.6%
Next Stop,Last Stop Stout ,Stout - American,7.6%
Next Stop,Istanbul (Turkish Coffee Stout) ,Stout - Foreign / Export,7%
Next Stop,Whiskey Barrel Aged Istanbul ,Stout - Foreign / Export,7%
Next Stop,St. Petersburg Vol. 1 ,Stout - Russian Imperial,13.5%
Next Stop,A Fond Farewell Barleywine ,Barleywine - Other,17.5%
Next Stop,Prickly Pear Agave ,Hard Seltzer,2.4%
Next Stop,Rome (Basil IPA) ,IPA - American,6.5%
Next Stop,Istanbul (Turkish Coffee Stout) ,Stout - Foreign / Export,7%
