Brewery,Beer,Style,ABV
Odell Brewing Co,90 Shilling Ale,Amber Ale,5.3 ABV
Odell Brewing Co,IPA,IPA,7.0 ABV
Odell Brewing Co,Sippin’ Pretty,Fruited Sour,4.5 ABV
Odell Brewing Co,Witkist White,Grapefruit White Ale,5.0 ABV
Odell Brewing Co,Mountain Standard,Mountain Style IPA,6.5 ABV
Odell Brewing Co,Good Behavior,Crushable IPA,4.0 ABV
Odell Brewing Co,Myrcenary,Double IPA,9.3 ABV
Odell Brewing Co,Drumroll,Hazy Pale Ale,5.3 ABV
Odell Brewing Co,Rupture,Fresh Grind IPA,6.0 ABV
Odell Brewing Co,Colorado Lager,Lager,5.0 ABV
Odell Brewing Co,Easy Street,Wheat Ale,4.6 ABV
Odell Brewing Co,2020 Wolf Picker,Experimental IPA,5.5 ABV
Odell Brewing Co,Peach Stand Rambler,Peach Blonde Ale,5 ABV
Odell Brewing Co,Isolation Ale,Winter Warmer,6.1 ABV
Odell Brewing Co,Oktoberfest,Marzen Style Lager,6.1 ABV
Odell Brewing Co,Hammer Chain,Fresh Grind Double IPA,8.0 ABV
Odell Brewing Co,Mango Tree Shaker,Imperial Mango IPA,8.0 ABV
Odell Brewing Co,Pulp Theory,Hazy IPA,7.5 ABV
Odell Brewing Co,CryoHop,IPA,6.5 ABV
Odell Brewing Co,Barreled Treasure,Barrel Aged Imperial Coffee Stout,11 ABV
Odell Brewing Co,Friek,Raspberry Cherry Sour,6.9 ABV
Odell Brewing Co,DDH,Double Dry Hopped,8.2 ABV
Odell Brewing Co,Bull Proof,Bourbon Barrel Aged Stout, ABV
Odell Brewing Co,5 Barrel Pale Ale,Pale Ale,5.2 ABV
