Brewery,Beer,Style,ABV,IBU
Wynkoop, These Hazy Dayz  ,IPA - New England,6.3% ABV,34 IBU
Wynkoop, Mile High Pale Ale ,Pale Ale - American,5.5% ABV,62 IBU
Wynkoop, ColoRojo Imperial Red ,Red Ale - Imperial / Double,8.2% ABV,65 IBU
Wynkoop, Petite Saison ,Farmhouse Ale - Saison,4.3% ABV,23 IBU
Wynkoop, Mexican Radio ,Mexican Lager,4% ABV,15 IBU
Wynkoop, DDH Sour ,Sour - Berliner Weisse,4% ABV,13 IBU
Wynkoop, Blast Beet ,Sour - Berliner Weisse,5% ABV,25 IBU
Wynkoop, Cucular Proliferation ,Sour - Gose,4.6% ABV,11 IBU
Wynkoop, Sour D'oh!  ,Sour - Berliner Weisse,4.7% ABV,7 IBU
Renegade Brewing,REDACTED,Rye IPA,7% ABV,60 IBU's
Renegade Brewing,5:00,Afternoon Ale,5.0% ABV,25 IBU's
Renegade Brewing,FREE TO ROAM,APA,5.4% ABV,47 IBU's
Renegade Brewing,RENEGADO,Mexican Lager,4.5% ABV,37 IBU's
Renegade Brewing,ENDPOINT,Triple IPA,11% ABV,100 IBU's
Renegade Brewing,PANCAKES,Maple Porter,6% ABV,60 IBU's
Renegade Brewing,DEPRAVITY,Imperial Peanut Butter Cup Stout,10% ABV,60 IBU's
Renegade Brewing,BLOOD MOON RYESIN,Rye IPA with Blood Orange,7.5% ABV,65 IBU's
Renegade Brewing,BARREL-AGED BEDWETTER,Barleywine,14% ABV,100 IBU's
Next Stop,Bangkok (Lemongrass Ginger Kölsch) ,Kölsch,4.5%,
Next Stop,Lyon ,Farmhouse Ale - Saison,4.5%,
Next Stop,Amsterdam (Chamomile Hefeweizen) ,Hefeweizen,5.3%,
Next Stop,Summa Summa Time (not Gluten Reduced) ,IPA - American,6.7%,
Next Stop,Rome (Basil IPA) ,IPA - American,6.5%,
Next Stop,Mando (5 Spice & Szechuan Peppercorns) ,IPA - International,6%,
Next Stop,Provence (Lavender Tripel) ,Belgian Tripel,9.6%,
Next Stop,Last Stop Stout ,Stout - American,7.6%,
Next Stop,Istanbul (Turkish Coffee Stout) ,Stout - Foreign / Export,7%,
Next Stop,Whiskey Barrel Aged Istanbul ,Stout - Foreign / Export,7%,
Next Stop,St. Petersburg Vol. 1 ,Stout - Russian Imperial,13.5%,
Next Stop,A Fond Farewell Barleywine ,Barleywine - Other,17.5%,
Next Stop,Prickly Pear Agave ,Hard Seltzer,2.4%,
Next Stop,Rome (Basil IPA) ,IPA - American,6.5%,
Next Stop,Istanbul (Turkish Coffee Stout) ,Stout - Foreign / Export,7%,
Denver Beer Co,Graham Cracker Porter,Porter,,
Denver Beer Co,Incredible Pedal IPA,IPA,,
Denver Beer Co,Juicy Freak Juicy IPA,Hazy IPA,,
Denver Beer Co,Maui Express Tropical IPA with Coconut,IPA,,
Denver Beer Co,Pretzel Assassin Amber Lager,Lager,,
Denver Beer Co,Princess Yum Yum Raspberry Kolsch,Kolsch,,
Denver Beer Co,Tart Delight Citrus Sour,Sour,,
Denver Beer Co,Berry Proud Sour Ale with Raspberries & Cranberries,Sour,,
Denver Beer Co,Colorado Champions Cucumber Lime Lager,Lager,,
Denver Beer Co,Confluence Pale Ale,Pale Ale,,
Denver Beer Co,Don Exotic Mango Peach Blonde Ale,Blonde Ale,,
Denver Beer Co,Zoom Casual American IPA,IPA,,
Denver Beer Co,Hubbabubbalicious Watermelon Sour,Sour,,
Denver Beer Co,O&A Colorado Craft Hard Seltzer - Lime,Seltzer,,
Denver Beer Co,O&A Colorado Craft Hard Seltzer - Black Cherry,Seltzer,,
Denver Beer Co,O&A Colorado Craft Hard Seltzer - Mango,Seltzer,,
Denver Beer Co,O&A Colorado Craft Hard Seltzer - Dragon Fruit,Seltzer,,
Great Divide Brewing Co,Yeti,Imperial Stout,,
Great Divide Brewing Co,TITAN,India Pale Ale,,
Great Divide Brewing Co,HERCULES,Double IPA,,
Great Divide Brewing Co,Colette,Farmhouse Ale,,
Great Divide Brewing Co,CLAYMORE,Scotch Ale,,
Great Divide Brewing Co,DENVER PALE ALE,American Pale Ale,,
Great Divide Brewing Co,Velvet Yeti,Nitro Stout,,
Great Divide Brewing Co,Samurai,Rice Ale,,
Great Divide Brewing Co,Hazy IPA,New England-Style IPA,,
Great Divide Brewing Co,HeyDay,Modern IPA,,
Great Divide Brewing Co,Strawberry Rhubarb,Sour Ale,,
Great Divide Brewing Co,Lager,American Lager,,
Great Divide Brewing Co,Car Camper,Hazy Pale Ale,,
Great Divide Brewing Co,ORABELLE,Belgian Style Tripel,,
Great Divide Brewing Co,Roadie,Grapefruit Radler,,
Great Divide Brewing Co,HOSS,Oktoberfest Lager,,
Great Divide Brewing Co,Hibernation,English Style Old Ale,,
Great Divide Brewing Co,Chocolate Cherry Yeti,Imperial Stout,,
Great Divide Brewing Co,S'mores Yeti,Imperial Stout,,
Great Divide Brewing Co,Barrel Aged Yeti,Imperial Stout,,
Great Divide Brewing Co,Mexican Chocolate Yeti,Imperial Stout,,
Great Divide Brewing Co,Hopnaut,Double Juicy IPA,,
Great Divide Brewing Co,Coffee Porter,,,
Great Divide Brewing Co,Margarita Gose,,,
Great Divide Brewing Co,Wild Berry,Craft Hard Seltzer,,
Great Divide Brewing Co,Mango Ginger,Craft Hard Seltzer,,
Great Divide Brewing Co,Pomegranate Lime,Craft Hard Seltzer,,
Great Divide Brewing Co,Ruby Red Grapefruit,Craft Hard Seltzer,,
Great Divide Brewing Co,Wood Werks Old Fashioned,Old Fashioned Inspired Belgian-Style Ale,,
Great Divide Brewing Co,Wood Werks Golden Sour with Fruit,,,
Great Divide Brewing Co,Wood Werks Double Barrel Belgian,,,
Odell Brewing Co,90 Shilling Ale,Amber Ale,5.3 ABV,
Odell Brewing Co,IPA,IPA,7.0 ABV,
Odell Brewing Co,Sippin’ Pretty,Fruited Sour,4.5 ABV,
Odell Brewing Co,Witkist White,Grapefruit White Ale,5.0 ABV,
Odell Brewing Co,Mountain Standard,Mountain Style IPA,6.5 ABV,
Odell Brewing Co,Good Behavior,Crushable IPA,4.0 ABV,
Odell Brewing Co,Myrcenary,Double IPA,9.3 ABV,
Odell Brewing Co,Drumroll,Hazy Pale Ale,5.3 ABV,
Odell Brewing Co,Rupture,Fresh Grind IPA,6.0 ABV,
Odell Brewing Co,Colorado Lager,Lager,5.0 ABV,
Odell Brewing Co,Easy Street,Wheat Ale,4.6 ABV,
Odell Brewing Co,2020 Wolf Picker,Experimental IPA,5.5 ABV,
Odell Brewing Co,Peach Stand Rambler,Peach Blonde Ale,5 ABV,
Odell Brewing Co,Isolation Ale,Winter Warmer,6.1 ABV,
Odell Brewing Co,Oktoberfest,Marzen Style Lager,6.1 ABV,
Odell Brewing Co,Hammer Chain,Fresh Grind Double IPA,8.0 ABV,
Odell Brewing Co,Mango Tree Shaker,Imperial Mango IPA,8.0 ABV,
Odell Brewing Co,Pulp Theory,Hazy IPA,7.5 ABV,
Odell Brewing Co,CryoHop,IPA,6.5 ABV,
Odell Brewing Co,Barreled Treasure,Barrel Aged Imperial Coffee Stout,11 ABV,
Odell Brewing Co,Friek,Raspberry Cherry Sour,6.9 ABV,
Odell Brewing Co,DDH,Double Dry Hopped,8.2 ABV,
Odell Brewing Co,Bull Proof,Bourbon Barrel Aged Stout, ABV,
Odell Brewing Co,5 Barrel Pale Ale,Pale Ale,5.2 ABV,
Black Shirt Brewing Co,KOMBUCHA , Happy Leaf Cranberry Lavender , 0% ABV,
Black Shirt Brewing Co,LADEN BOUGH , Norse Table Beer , 4.8% ABV,
Black Shirt Brewing Co,VIEWMASTER , Berliner Weisse with Cherry and Lychee , 4.5% ABV,
Black Shirt Brewing Co,ELEVATED IPA (guest) , La Cumbre Brewing Co , IPA | 7.2% ABV,
Black Shirt Brewing Co,  SILVAN REALM , Biére de Garde , 6.2% ABV,
Black Shirt Brewing Co,SHADOWTACKLE , Multigrain Imperial Porter , 8.1% ABV,
Black Shirt Brewing Co, HEADREST , Double Brown Ale , 10% ABV,
Black Shirt Brewing Co, THE THRA , Kristallklar Weisse Bier ," 4.7% ABV (Collaboration with Angry James Brewery, Silverthorne, CO)",
Black Shirt Brewing Co,COLORADO PUBLIC RED , Hoppy Red Ale , 7.2% ABV,
Black Shirt Brewing Co,LAUGH , American Pale Ale , 4.7% ABV,
Black Shirt Brewing Co,ALACRITY , German Pilsner , 5.1% ,
Black Shirt Brewing Co,BLUE FLOWER MOON 2020 , Nitro Russian Imperial Stout w/ coffee & cacao , 14.9% ABV***NOT AVAILABLE IN CROWLERS*** ,
Wynkoop, These Hazy Dayz  ,IPA - New England,6.3% ABV,34 IBU
Wynkoop, Mile High Pale Ale ,Pale Ale - American,5.5% ABV,62 IBU
Wynkoop, ColoRojo Imperial Red ,Red Ale - Imperial / Double,8.2% ABV,65 IBU
Wynkoop, Petite Saison ,Farmhouse Ale - Saison,4.3% ABV,23 IBU
Wynkoop, Mexican Radio ,Mexican Lager,4% ABV,15 IBU
Wynkoop, DDH Sour ,Sour - Berliner Weisse,4% ABV,13 IBU
Wynkoop, Blast Beet ,Sour - Berliner Weisse,5% ABV,25 IBU
Wynkoop, Cucular Proliferation ,Sour - Gose,4.6% ABV,11 IBU
Wynkoop, Sour D'oh!  ,Sour - Berliner Weisse,4.7% ABV,7 IBU
Renegade Brewing,REDACTED,Rye IPA,7% ABV,60 IBU's
Renegade Brewing,5:00,Afternoon Ale,5.0% ABV,25 IBU's
Renegade Brewing,FREE TO ROAM,APA,5.4% ABV,47 IBU's
Renegade Brewing,RENEGADO,Mexican Lager,4.5% ABV,37 IBU's
Renegade Brewing,ENDPOINT,Triple IPA,11% ABV,100 IBU's
Renegade Brewing,PANCAKES,Maple Porter,6% ABV,60 IBU's
Renegade Brewing,DEPRAVITY,Imperial Peanut Butter Cup Stout,10% ABV,60 IBU's
Renegade Brewing,BLOOD MOON RYESIN,Rye IPA with Blood Orange,7.5% ABV,65 IBU's
Renegade Brewing,BARREL-AGED BEDWETTER,Barleywine,14% ABV,100 IBU's
Jagged Mountain Brewing,Four Pass,German Pilsner, 5.0% ABV , 25 IBU
Jagged Mountain Brewing,Grouse Mountain,Blood Orange Gose, 5.2% ABV , 10 IBU
Jagged Mountain Brewing,For the Adventure,Vienna Lager, 5.5% ABV , 10 IBU
Jagged Mountain Brewing,Casual Route,Single Hop Session IPA, 5.5% ABV , 10 IBU
Jagged Mountain Brewing,Tropical Staycation,Passion Fruit Guava Sour, 4.2% ABV , 10 IBU
Jagged Mountain Brewing,Sawatch,American IPA, 7.0% ABV , 70 IBU
Jagged Mountain Brewing,20th St. Treat,Banana Fosters Dunkel,5.5%, 20 IBU
Jagged Mountain Brewing,Brave New Pils,Bohemian Pilsner,  6.3% ABV , 30 IBU
Jagged Mountain Brewing,Pink Boot IPH,India Pale Hefeweizen,6.5%, 40 IBU
Jagged Mountain Brewing,I’m So Lonely,DDH New England IPA,7.5%, 45 IBU
Jagged Mountain Brewing,This Beer Really Ties the Room Together,Blonde Milk Stout with Coffee and Cacao, 6.0% ABV , 25 IBU
Jagged Mountain Brewing,Gondola Confessions,Bourbon barrel aged Russian Imperial Stout,10%, 30 IBU
